ARRIVAL DATE,IMPORTER NAME,IMPORTER COUNTRY,EXPORTER NAME,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,QUANTITY,QUANTITY UNIT,PRODUCT DETAILS
20-05-2023,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,2100,USD,1,PCS,"ROUND BAR 1.57"" OD 718 API 6A NACE MR0175 WILL YIELD 8 PCS AT 12.72 PLUS TOLERANCE ITEM CODE: 1.57OD"
20-05-2023,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,40,USD,1,PCS,"INDUSTRIAL USE - CHART PAPER 12"" 1000 1 HR ROTATION 100 PCSPER BOX ITEM CODE: 5M130"
20-05-2023,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,40,USD,1,PCS,"INDUSTRIAL USE - CHART PAPER 12"" 10000 1 HR ROTATION 100 PCSPER BOX ITEM CODE: 5M121"
20-05-2023,SAYATVA INDUSTRIAL PRIVATE LTD.,India,SAYATVA LLC,United States,0,14700,USD,100,PCS,"ROUND BAR 1.25"" OD 718 API 6ACRA NACE MR0175 LENGTH 11.14"" ITEM CODE: 1.250D718API-L 11.14"
18-05-2023,PETRODYNAMIX LLC.,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,50427.39,0,USD,31,PCS,"INDUSTRIAL VALUE ASSEMBLY,MANUAL GATE VALUE(SLAB GATE TYPE),1 13/16""-15K,TEMP X,EE-NL BODY/BNTSS410-"
18-05-2023,PETRODYNAMIX LLC.,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,70969.08,0,USD,39,PCS,"INDUSTRIAL VALUE ASSEMBLY,MANUAL GATE VALUE(FLS TYPE),2 1/16""-10K,U,FF-NL,BODY/BNT SS410-75K,UT/MPI,"
17-05-2023,PETRODYNAMIX LLC.,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,Oman,0,0,,20,PKG,"INDUSTRIAL VALVE ASSEMBLY MANUAL GATE VALVE , 01 TO 20"
15-05-2023,STREAM-FLO KILGORE,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,52128,0,USD,48,NOS,INDUSTRIAL VALVE (GATE VLAVE 1-13/16 10000 FLANGED ENDS LE TRIM 17-4 PH STEM API64 LUEE-0.5 PSL-3 PR
15-05-2023,STREAM-FLO KILGORE,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,2172,0,USD,2,NOS,INDUSTRIAL VALVE (GATE VLAVE 1-13/16 10000 FLANGED ENDS LE TRIM 17-4 PH STEM API64 LUEE-0.5 PSL-3 PR
15-05-2023,STREAM-FLO KILGORE,United States,SAYATVA INDUSTRIAL PRIVATE LIMITED,India,65700,0,USD,50,NOS,INDUSTRIAL VALVE(GATE VLAVE2-1/16 10000FLANGED ENDS LE TRIM T-25 TRIM HARDFACEDW/17-4 PH STEM W/UPGR
