ARRIVAL DATE,IMPORTER NAME,IMPORTER COUNTRY,EXPORTER NAME,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,QUANTITY,QUANTITY UNIT,PRODUCT DETAILS
18-05-2021,SEADRILL OBERON DE MEXICO S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,United States,300,8148,USD,2,Pieces,MANUFACTURAS METALICAS
18-05-2021,SEADRILL OBERON DE MEXICO S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,United States,300,8148,USD,3,Pieces,MANUFACTURAS METALICAS
18-05-2021,SEADRILL OBERON DE MEXICO S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,United States,80,7928,USD,4,Pieces,EMPAQUES
18-05-2021,SEADRILL OBERON DE MEXICO S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,290.72,6713.72,USD,1,Pieces,BUJE DE METAL
18-05-2021,SEADRILL OBERON DE MEXICO S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,670,6887,USD,2,Pieces,PARTES PARA VALVULAS (ASIENTO)
18-05-2021,SEADRILL OBERON DE MEXICO S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,757,6974,USD,1,Pieces,PARTES PARA VALVULAS (PUERTA PARA VALVULA)
18-05-2021,SEADRILL OBERON DE MEXICO S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,India,290.72,6713.72,USD,1,Pieces,ARANDELA DE SEGURIDAD
18-05-2021,SEADRILL OBERON DE MEXICO S. DE R.L. DE C.V.,Mexico,JVS INDUSTRIES PVT. LTD,United States,140,7988,USD,4,Pieces,EMPAQUES
30-01-2021,ADES SAUDI COMPANY LTD.,Saudi Arabia,JVS INDUSTRIES PVT LTD,India,3.89,0,USD,1,Pieces,SAMPLE PARTS FOR 3-1/8 X 5000 PSI ADJUST ABLE CHOKE FRONT RETAINER (30432BQDXX XXXF)
30-01-2021,ADES SAUDI COMPANY LTD.,Saudi Arabia,JVS INDUSTRIES PVT LTD,India,3.9,0,USD,2,Pieces,SAMPLE PARTS FOR 3-1/8 X 5000 PSI ADJUST ABLE CHOKE SEAL RING (OR 226-W)
30-01-2021,ADES SAUDI COMPANY LTD.,Saudi Arabia,JVS INDUSTRIES PVT LTD,India,9.74,0,USD,2,Pieces,SAMPLE PARTS FOR 3-1/8 X 5000 PSI ADJUST ABLE CHOKE BACK UP RING (BR241-W)
30-01-2021,ADES SAUDI COMPANY LTD.,Saudi Arabia,JVS INDUSTRIES PVT LTD,India,11.68,0,USD,1,Pieces,SAMPLE PARTS FOR 3-1/8 X 5000 PSI ADJUST ABLE CHOKE FLOW PLUG (301212QDXXXXXF)
30-01-2021,ADES SAUDI COMPANY LTD.,Saudi Arabia,JVS INDUSTRIES PVT LTD,India,3.9,0,USD,2,Pieces,SAMPLE PARTS FOR 3-1/8 X 5000 PSI ADJUST ABLE CHOKE SEAL RING (OR241-W)
30-01-2021,ADES SAUDI COMPANY LTD.,Saudi Arabia,JVS INDUSTRIES PVT LTD,India,0.97,0,USD,1,Pieces,SAMPLE PARTS FOR 3-1/8 X 5000 PSI ADJUST ABLE CHOKE LOCK NUT
30-01-2021,ADES SAUDI COMPANY LTD.,Saudi Arabia,JVS INDUSTRIES PVT LTD,India,7.78,0,USD,2,Pieces,SAMPLE PARTS FOR 3-1/8 X 5000 PSI ADJUST ABLE CHOKE BACK UP RING (BR226-W)
30-01-2021,ADES SAUDI COMPANY LTD.,Saudi Arabia,JVS INDUSTRIES PVT LTD,India,3.9,0,USD,2,Pieces,SAMPLE PARTS FOR 3-1/8 X 5000 PSI ADJUST ABLE CHOKE SPRING WASHER (SWSKWI012)
30-01-2021,ADES SAUDI COMPANY LTD.,Saudi Arabia,JVS INDUSTRIES PVT LTD,India,2.92,0,USD,1,Pieces,SAMPLE PARTS FOR 3-1/8 X 5000 PSI ADJUST ABLE CHOKE REAR RETAINER (30442BQDXXX XXF)
22-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,353.7,0,USD,10,NOS,"VALVE:BODY BLEED NIPPLE : 1/2"""" NPT"
22-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,14253.9,0,USD,2,NOS,"VALVE:HCR GATE VALVE 4-1/16"""" X 10000 PSI   THROUGH CONDUIT  FULL BORE GATE VALVE  RING GROOVE: BX-15"
22-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,0,0,USD,1,NOS,GREEN CARD NO. KASEZ/12/2016-17 DATED 04 .01.2017 VALID UPTO 03.01.2022
22-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,0,0,USD,1,NOS,LUT REF: B-17/JVS/01/D.WAGH/2016-17 DATE D 23.03.2017 VALID UPTO 03.01.2022
22-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,5410.9,0,USD,2,NOS,"VALVE:HCR GATE VALVE 2-1/16"""" X 10000 PSI   THROUGH CONDUIT  FULL BORE GATE VALVE  RING GROOVE: BX-15"
22-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,6071.85,0,USD,1,NOS,"VALVE:MANUAL GATE VALVE 4-1/16"""" X 10000 PSI  THROUGH CONDUIT  FULL BORE GATE VAL VE  RING GROOVE: BX"
14-01-2021,BRANCH OF ADVANCED ENERGY SYSTEMS,Saudi Arabia,JVS INDUSTRIES PVT LTD,India,560,0,USD,4,Pieces,VALVE PARTS COMPRESSION SPRING SIZE
14-01-2021,BRANCH OF ADVANCED ENERGY SYSTEMS,Saudi Arabia,JVS INDUSTRIES PVT LTD,India,0,0,USD,1,Pieces,LUT REF KASEZ/100%EOU/II/11/06-07/VOL.1
13-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,4904.74,0,USD,2,NOS,"VALVE: CHECK VALVE- LIFT TYPE 2-1/16"""" X 10000 PSI  RING GROOVE: BX-152  TEMPERAT URE RATING: P - X ("
13-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,6229.95,0,USD,1,NOS,"VALVE: MANUAL GATE VALVE 4-1/16"""" X 10000 PSI   THROUGH CONDUIT  FULL BORE GATE V ALVE  RING GROOVE:"
13-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,10509.4,0,USD,5,NOS,"VALVE: MANUAL GATE VALVE 2-1/16"""" X 10000 PSI   THROUGH CONDUIT  FULL BORE GATE V ALVE  RING GROOVE:"
13-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,0,0,USD,1,NOS,LUT REF: B-17/JVS/01/D.WAGH/2016-17 DATE D 23.03.2017 VALID UPTO 03.01.2022
13-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,0,0,USD,1,NOS,GREEN CARD NO. KASEZ/12/2016-17 DATED 04 .01.2017 VALID UPTO 03.01.2022
12-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,8027.7,0,USD,2,NOS,"VALVE:CHECK VALVE- LIFT TYPE 3-1/16""""X100 00 PSI  RING GROOVE: BX-154  TEMPERATURE RATING: P- X (-29C"
12-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,0,0,USD,1,NOS,LUT REF: B-17/JVS/01/D.WAGH/2016-17 DATE D 23.03.2017 VALID UPTO 03.01.2022
12-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,0,0,USD,1,NOS,GREEN CARD NO. KASEZ/12/2016-17 DATED 04 .01.2017 VALID UPTO 03.01.2022
12-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,3563.74,0,USD,1,NOS,"VALVE: MANUAL GATE VALVE 3-1/16"""" X 10000 PSI   THROUGH CONDUIT  FULL BORE GATE V ALVE  RING GROOVE:"
12-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,1990.81,0,USD,1,NOS,VALVE:MANUAL GATE VALVE 2-1/16X5000 PSI  THROUGH CONDUIT  FULL BORE GATE VALVE  RING GROOVE: R-24  T
08-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,20.52,0,USD,2,NOS,VALVE & PARTS FOR MANIFOLD: RING GASKET: BX-154
08-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,88.23,0,USD,1,NOS,VALVE & PARTS FOR MANIFOLD: MOLYLUBE CAN
08-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,7427.86,0,USD,1,NOS,"VALVE & PARTS FOR MANIFOLD: MANUAL GATE VALVE 4-1/16"""" X 10000 PSI   THROUGH COND UIT  FULL BORE GATE"
08-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,7386.84,0,USD,4,NOS,"VALVE & PARTS FOR MANIFOLD: 4-WAY STUDDE D BLOCK ASSEMBLY: 4 X  4-1/16""""X 10000 PS I  MATERIAL: UNS G"
08-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,4842.5,0,USD,10,NOS,"VALVE & PARTS FOR MANIFOLD: BLIND FLANGE FLUID CUSHION TYPE: 4-1/16""""X 10000 PSI  MATERIAL: UNS G4130"
08-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,8.24,0,USD,8,NOS,VALVE & PARTS FOR MANIFOLD: FULLY THREAD ED HEX BOLT: M20 X 45MM LONG
08-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,0,0,USD,1,NOS,LUT REF: B-17/JVS/01/D.WAGH/2016-17 DATE D 23.03.2017 VALID UPTO 03.01.2022
08-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,0,0,USD,1,NOS,GREEN CARD NO. KASEZ/12/2016-17 DATED 04 .01.2017 VALID UPTO 03.01.2022
08-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,8.24,0,USD,8,NOS,VALVE & PARTS FOR MANIFOLD: FLAT WASHER: M20
08-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,2902.41,0,USD,1,NOS,VALVE & PARTS FOR MANIFOLD: BUFFER CHAMB ER BLOCK 6-WAY (LH  SIDES)  5 WAY- 4-1/1 6 X 10000 PSI   1
08-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,4398.24,0,USD,3,NOS,"VALVE & PARTS FOR MANIFOLD: SPACER SPOOL : 4-1/16"""" X 10000 PSI FLANGE END   MATER IAL L UNS G41300-7"
08-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,320.06,0,USD,26,NOS,VALVE & PARTS FOR MANIFOLD: RING GASKET: BX-155
08-01-2021,JVS ENGINEERS PTE.LTD.FZE,United Arab Emirates,JVS INDUSTRIES PVT LTD,India,2902.41,0,USD,1,NOS,VALVE & PARTS FOR MANIFOLD: BUFFER CHAMB ER BLOCK 6-WAY (RH  SIDES)  5 WAY- 4-1/1 6 X 10000 PSI   1
