ARRIVAL DATE,IMPORTER NAME,IMPORTER COUNTRY,EXPORTER NAME,COUNTRY OF ORIGIN,IMPORT VALUE FOB,IMPORT VALUE CIF,CURRENCY,QUANTITY,QUANTITY UNIT,PRODUCT DETAILS
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,19,USD,50,PCS,"INDUSTRIAL VALVE PARTS-ASSY COMP SPRING LOCK WASHER O.D-0.869"" X I.D-0.512"" X THICK-0.125"" ITEM NO:"
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,1740,USD,25,PCS,INDUSTRIAL VALVE PARTS-ASSY COMP BARRIER CABLE GLAND SIZE M20 SIZE O ATEX/IECEX/UKEX ITEM NO: PM2857
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,448,USD,6,PCS,"INDUSTRIAL VALVE PARTS-ASSY COMP 16"" STEEL HAND RATCHET WITH1/2"" SQUARE DRIVE SIZE ITEM NO: PM1716"
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,234,USD,100,PCS,"INDUSTRIAL VALVE PARTS-ASSY COMP HYD-RELIEF VALVE 1/8"" ALEMITE FITTING SUPPLIER P/N :47100 ITEM NO:"
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,21250,USD,5,PCS,"INDUSTRIAL VALVE PARTS-ASSY COMP ACTUATOR SPRING 3 1/16 15KSUB SEA FAIL OPEN 2.00"" ITEM NO: PM13892"
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,350,USD,100,PCS,"4-3/8"" OD MAGNETIC PROTECTOR ITEM NO: 40019601"
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,809,USD,2,PCS,"INDUSTRIAL VALVE PARTS-ASSY COMP POTENTIOMETER LINEAR 3"" TRAVEL 1K OHM RESISTANCE ITEM NO: PM2005"
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,910,USD,5,PCS,INDUSTRIAL VALVE PARTS-ASSY COMP ENCLOSURE TERMINAL 1/2 NPTFPORTS ATEX ZONE ITEM NO: PM2560
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,India,0,8150,USD,50,NOS,RE-IMPORT (P.NO:CSX4010H22A11)MACH COMP CSX SEAT 4-1/16-10K410 SS SES-4.6.10 TRIBOCOR 7 (EXP INV NO:
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,1445,USD,1,PCS,ELECTRONIC TORQUE WRENCH DIGITAL RECORDER (MODEL 6004CASG) ITEM NO: 40019580
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,40,USD,30,PCS,"INDUSTRIAL VALVE PARTS-ASSY COMP SOCKET HEAD SCREW 3/8""-16UNC-2A X 3/4"" LONG 18-8 ITEM NO: PM2849"
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,641,USD,3,PCS,INDUSTRIAL VALVE PARTS-COUPLING SHAFT TO SHAFT 1.000 INCH L-110 1/4 X 1/8 KEY WAY E/E ITEM NO: PM192
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,1709,USD,8,PCS,INDUSTRIAL VALVE PARTS-COUPLING SHAFT TO SHAFT 1.000 INCH L-110 1/4 X 1/8 KEYWAY E/E WITH ITEM NOPM1
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,367,USD,2,PCS,INDUSTRIAL VALVE PARTS-ASSY COMP 2-WIRE LEVEL TRANSMITTER IS POTENTIOMETER/LIN R INPUTITEM NO: PM265
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,India,0,1312,USD,2,NOS,RE-IMPORT (P.NO:SSX4015RCH287A) MACH COMP SSX GATE HYDRAULIC4-1/16 15K PSI 410 SS SES-4.6(EXP INV NO
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,232,USD,105,PCS,INDUSTRIAL VALVE PARTS-2X1.5MM2(CLASS 2 TCC)NEK606 BU (AWC P/N: AD 10009) ITEM NO: PM2057
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,322,USD,25,PCS,"INDUSTRIAL VALVE PARTS-ASSY COMP THUMB SCREW 3/8""-16UNC-2A X1.5"" LONG 316 SS WITH ITEM NO:PM1024"
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,India,0,1945,USD,5,NOS,RE-IMPORT (P.NO:SSX3015H287A)MACH COMP SSX HYD GATE 410 SS SES-4.6.10 3 1/16 15K HF (EXP INV NO:9200
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,21422,USD,10,PCS,"INDUSTRIAL VALVE PARTS-""WORM GEAR MACHINE SCREW JACK 15 TON8:1 RATIO GEARSET ITEM NO: PM2255"
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,India,0,990,USD,6,NOS,RE-IMPORT (P.NO:SSX4015RC2211)MACH COMP SSX-SEAT 4-1/16-15K410 SS SES-4.6.10 TBR#7 COAT (EXP INV NO:
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,364,USD,2,PCS,INDUSTRIAL VALVE PARTS-ASSY COMP ENCLOSURE TERMINAL 1/2 NPTFPORTS ATEX ZONE 1 ITEM NO: PM2560
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,84,USD,5,PCS,"INDUSTRIAL VALVE PARTS-ASSY COMP PLG 1G 1/2"" PLUG ISO7/1 GALVANIZE STEEL ATEX ZONE ITEM NO: PM2563"
27-04-2024,SRI ENERGY VALVES PVT LTD.,India,SRI ENERGY INC,United States,0,2716,USD,25,PCS,INDUSTRIAL VALVE PARTS-ASSY COMP BARRIER CABLE GLAND SIZE M25 SIZE B ATEX/IECEX ITEM NO: PM2855
